TC ID,Issue Type,Test Type,Test Case Name,Description,Step Description,Expected Result,Test Repository path,Status,User Story Number,Priority
EZ-304-TC-001,Bug,Positive,Verify correct form title display,Verify that the Cyber form displays the correct title,1. Navigate to Cyber forms 2. Load the form page,Form title should display correctly without any truncation or formatting issues,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,High
EZ-304-TC-002,Bug,Negative,Verify incorrect form title is not displayed,Verify that any incorrect or outdated form title does not appear,1. Navigate to Cyber forms 2. Check for any incorrect titles,No incorrect titles should be visible on the form page,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,High
EZ-304-TC-003,Bug,Data Validation,Validate form title field length,Verify that form title field accepts and displays correct character length,1. Open form configuration 2. Check title field properties 3. Verify character limit,Form title should have appropriate character limit and display complete title,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,Medium
EZ-304-TC-004,Bug,Data Validation,Validate form title special characters,Verify that form title correctly handles special characters,1. Enter form title with special characters (!@#$%^&*) 2. Save form 3. Verify display,Special characters should be properly encoded and displayed,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,Medium
EZ-304-TC-005,Bug,Data Validation,Validate form title with Unicode characters,Verify that form title correctly handles Unicode/international characters,1. Enter form title with Unicode characters 2. Save form 3. Verify display,Unicode characters should display correctly without corruption,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,Medium
EZ-304-TC-006,Bug,Data Validation,Validate empty form title,Verify system behavior when form title is empty,1. Leave form title field empty 2. Attempt to save form 3. Check validation message,System should display error message or use default title,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,High
EZ-304-TC-007,Bug,Data Validation,Validate form title with whitespace only,Verify system behavior when form title contains only whitespace,1. Enter only spaces in form title 2. Attempt to save form 3. Check validation,System should reject whitespace-only entries or trim whitespace,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,Medium
EZ-304-TC-008,Bug,Data Validation,Validate form title with HTML tags,Verify that form title does not execute HTML tags,1. Enter form title with HTML tags (<script>) 2. Save form 3. Verify display,HTML tags should be escaped or sanitized and displayed as text,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,High
EZ-304-TC-009,Bug,Data Validation,Validate form title case sensitivity,Verify that form title maintains correct case when saved,1. Enter form title with mixed case 2. Save form 3. Retrieve and verify case,Form title case should be preserved as entered,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,Low
EZ-304-TC-010,Bug,Negative,Verify form title update in UI,Verify that form title changes are reflected in UI immediately,1. Open Cyber form 2. Update form title 3. Verify update reflects on page,Updated form title should display in real-time without page refresh,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,Medium
EZ-304-TC-011,Bug,Data Validation,Validate form title length with very long string,Verify form title behavior with extremely long strings,1. Enter 500+ character string as form title 2. Save form 3. Check display,System should truncate or wrap long titles appropriately,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,Medium
EZ-304-TC-012,Bug,Data Validation,Validate form title with numeric values,Verify that form title correctly handles numeric-only entries,1. Enter numeric string as form title 2. Save form 3. Verify display,Numeric form titles should be accepted and displayed correctly,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,Low
EZ-304-TC-013,Bug,Positive,Verify form title consistency across pages,Verify that form title displays consistently across all form pages,1. Navigate through Cyber form pages 2. Check title on each page,Form title should remain consistent across all pages,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,Medium
EZ-304-TC-014,Bug,Negative,Verify form title in exported/printed format,Verify that form title displays correctly when form is exported or printed,1. Export Cyber form to PDF 2. Print form 3. Verify title in output,Form title should display correctly in exported and printed formats,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,Medium
EZ-304-TC-015,Bug,Data Validation,Validate form title with SQL injection attempts,Verify that form title field is protected against SQL injection,1. Enter SQL injection payload in form title 2. Save form 3. Verify no execution,SQL payloads should be sanitized and displayed as text,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-304,High
