TC ID,Issue Type,Test Type,Test Case Name,Description,Step Description,Expected Result,Test Repository path,Status,User Story Number,Priority
EZ-243-TC-001,Story,Positive,Verify manuscript numbering on List of Endorsements,Verify that manuscripts are correctly numbered on the List of Endorsements,1. Open Liability form 2. Navigate to List of Endorsements section 3. Verify manuscript numbering,All manuscripts should be sequentially numbered starting from 1,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,High
EZ-243-TC-002,Story,Positive,Verify numbering sequence is sequential,Verify that manuscript numbering follows sequential order without gaps,1. Add multiple manuscripts to endorsements 2. Check numbering sequence,Numbering should be sequential (1, 2, 3, etc.) with no gaps or duplicates,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,High
EZ-243-TC-003,Story,Positive,Verify numbering persists after save,Verify that manuscript numbering remains consistent after saving the form,1. Add numbered manuscripts 2. Save form 3. Reload form 4. Check numbering,Numbering should persist and remain unchanged after form save and reload,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,High
EZ-243-TC-004,Story,Positive,Verify numbering in exported endorsement list,Verify that manuscript numbering appears correctly in exported/printed endorsement list,1. Create numbered endorsements 2. Export list to PDF 3. Verify numbering in output,Manuscript numbering should be visible and correct in exported formats,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,Medium
EZ-243-TC-005,Story,Negative,Verify numbered manuscripts cannot be reordered,Verify that manually reordering manuscripts maintains correct numbering,1. Add numbered manuscripts 2. Attempt to reorder items 3. Check numbering,System should either prevent reordering or auto-renumber if reordered,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,High
EZ-243-TC-006,Story,Negative,Verify deletion updates numbering,Verify that deleting a manuscript updates the numbering of remaining items,1. Add 5 numbered manuscripts 2. Delete manuscript #3 3. Check remaining numbering,Remaining manuscripts should be renumbered sequentially after deletion,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,High
EZ-243-TC-007,Story,Negative,Verify duplicate numbering is prevented,Verify that the system prevents manually assigning duplicate manuscript numbers,1. Attempt to create two manuscripts with same number 2. Try to save,System should prevent duplicate numbering or show validation error,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,High
EZ-243-TC-008,Story,Data Validation,Validate numbering with empty manuscript list,Verify system behavior when List of Endorsements is empty,1. Open empty endorsement list 2. Check for numbering,Empty list should display with no numbering or placeholder,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,Medium
EZ-243-TC-009,Story,Data Validation,Validate numbering with large manuscript count,Verify manuscript numbering works correctly with large number of items (100+),1. Add 100+ manuscripts 2. Verify numbering sequence,All manuscripts should be numbered correctly up to the maximum count,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,Medium
EZ-243-TC-010,Story,Data Validation,Validate numbering format consistency,Verify that all manuscript numbers follow consistent formatting (e.g., 001, 002),1. Add manuscripts and check number format 2. Verify consistency,Manuscript numbers should follow consistent format throughout the list,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,Medium
EZ-243-TC-011,Story,Data Validation,Validate numbering with special characters in manuscript names,Verify numbering works when manuscript names contain special characters,1. Add manuscript with special characters in name 2. Check numbering,Numbering should work correctly regardless of manuscript name content,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,Low
EZ-243-TC-012,Story,Data Validation,Validate numbering with very long manuscript names,Verify numbering works with very long manuscript names (255+ characters),1. Add manuscript with long name (255+ chars) 2. Check numbering,Numbering should display correctly even with long names,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,Low
EZ-243-TC-013,Story,Data Validation,Validate numbering after bulk import,Verify that imported manuscripts are correctly numbered,1. Import bulk manuscripts 2. Check numbering of imported items,All imported manuscripts should be sequentially numbered,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,Medium
EZ-243-TC-014,Story,Data Validation,Validate numbering with Unicode characters in names,Verify numbering works when manuscript names contain Unicode characters,1. Add manuscript with Unicode characters (Chinese, Arabic, etc.) 2. Check numbering,Numbering should work correctly with Unicode manuscript names,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,Low
EZ-243-TC-015,Story,Positive,Verify numbering updates on manuscript addition,Verify that numbering updates correctly when new manuscripts are added to existing list,1. Create initial numbered list 2. Add new manuscript 3. Verify new number assigned,New manuscript should receive the next sequential number,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,High
EZ-243-TC-016,Story,Data Validation,Validate numbering field accepts numeric input only,Verify that manuscript number field only accepts numeric values,1. Attempt to enter non-numeric value in number field 2. Save,System should reject non-numeric input or convert to numeric,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-243,Medium
